Multiplicity,Summarized Transverse Momentum,Spectators Energy Deposition,Multiplicity of soft particles,Multiplicity of hard particles,Impact Parameter
20,7.79682,233.581,5,2,2
104,44.1003,76.7604,24,16,1
11,5.72441,242.18,0,1,2
10,4.96436,236.709,3,2,2
1,0.400596,269.178,0,1,2
2,1.83958,240.901,0,0,2
33,12.1836,200.594,13,10,2
68,29.3893,124.281,17,16,1
10,4.85735,250.137,1,4,2
11,5.34949,237.638,2,2,2
29,14.4309,173.028,7,4,2
10,6.68126,258.845,0,3,2
14,5.65606,238.243,1,3,2
25,11.67,230.736,3,6,2
75,29.9988,126.027,20,13,1
18,10.7779,202.729,1,4,2
16,6.88556,231.787,3,3,2
9,3.7062,253.894,1,2,2
21,9.70935,188.779,4,5,2
88,38.3344,75.7219,22,18,1
20,8.39341,212.954,3,4,2
46,17.2498,153.321,11,12,1
52,19.1857,124.738,15,7,2
33,12.165,216.478,10,11,2
118,52.3269,48.1287,24,27,0
2,0.789306,263.135,0,1,2
10,5.24082,242.184,0,3,2
106,42.916,46.7814,26,19,0
45,16.9222,166.268,12,8,1
40,15.0949,186.125,10,9,2
98,42.7051,50.8928,27,18,0
31,13.1315,153.475,6,6,2
40,14.3357,193.942,8,10,2
80,32.988,54.4104,18,13,0
22,7.06017,173.557,8,6,2
74,32.2462,112.227,18,15,1
8,3.67234,244.457,3,1,2
76,37.4861,75.9656,11,17,0
23,10.7857,195.86,8,6,2
79,29.5958,90.7303,27,7,1
24,11.2783,185.045,6,5,2
10,6.04505,213.402,4,0,2
4,3.24632,254.107,0,0,2
47,23.0615,129.009,13,8,1
57,22.3101,130.795,9,11,2
7,3.03701,233.718,1,1,2
28,10.9949,168.665,7,7,1
62,30.713,144.394,12,10,1
25,12.8383,218.828,3,4,2
8,2.491,246.887,3,2,2
92,42.4347,72.372,16,16,0
18,8.22307,250.017,4,3,2
12,7.72077,227.002,0,4,2
4,1.58494,255.618,1,3,2
5,2.96508,260.03,0,0,2
20,7.71249,213.278,7,5,2
15,6.38882,208.738,3,2,2
62,25.0859,109.314,14,14,1
41,17.92,166.76,10,8,2
10,2.80643,245.308,4,3,2
40,16.0347,173.701,12,6,1
3,1.30961,268.615,0,0,2
22,10.1195,211.645,5,4,2
39,19.2555,101.579,7,9,1
3,1.08998,237.802,0,1,2
39,16.6031,173.771,9,9,2
